分数,学校,姓名,院校全称,研究方向,主页,Google Scholar,明确招本科实习,有opening,教授NJU背景,学生NJU背景,是否AP,资深教授,找到CV,关键词匹配,爬取页数,招生证据,NJU证据,错误
2,UCLA,Amit Sahai,Univ. of California - Los Angeles,NLP,http://www.cs.ucla.edu/~sahai,https://scholar.google.com/citations?user=gqB23VMAAAAJ,False,False,False,False,True,True,False,False,1,,,
2,UMass,Amir Houmansadr,Univ. of Massachusetts Amherst,"AI, ML, NLP, Vision",https://people.cs.umass.edu/~amir,https://scholar.google.com/citations?user=cTTFHNwAAAAJ,False,False,False,False,True,True,False,False,8,,,
2,USC,Amir Salman Avestimehr,University of Southern California,"AI, ML, NLP, Vision",https://www.avestimehr.com,https://scholar.google.com/citations?user=Qhe5ua0AAAAJ,False,False,False,False,True,True,True,False,5,,,
0,UCSB,Amr El Abbadi,Univ. of California - Santa Barbara,"ML, Web+IR",https://www.cs.ucsb.edu/~amr,https://scholar.google.com/citations?user=tNmIw4MAAAAJ,False,False,False,False,False,False,False,False,1,,,
8,UMich,Amrita Roy Chowdhury,University of Michigan,"ML, NLP",https://sites.google.com/wisc.edu/amrita-roy-chowdhury,https://scholar.google.com/citations?user=lWWAZ4YAAAAJ,False,True,False,False,True,False,False,False,1,"...t. Here's a link to my CV (Updated Nov '25) . I am actively looking for students, please reach out if you are interested. Recent News Dec 2...",,
-3,UMD,Amitabh Varshney,Univ. of Maryland - College Park,Vision,https://www.cs.umd.edu/~varshney,https://scholar.google.com/citations?user=b053OdAAAAAJ,False,False,False,False,False,True,False,False,1,,,
0,UW,Amy X. Zhang,University of Washington,Vision,https://people.csail.mit.edu/axz,https://scholar.google.com/citations?user=thZJZaYAAAAJ,False,False,False,False,False,False,False,False,1,,,
-3,Brown,Amy Greenwald,Brown University,"AI, ML, Web+IR",http://cs.brown.edu/~amygreen,https://scholar.google.com/citations?user=aQCRuYQAAAAJ,False,False,False,False,False,True,False,False,2,,,
15,UCB,Amy Pavel,Univ. of California - Berkeley,"NLP, Vision",https://amypavel.com,https://scholar.google.com/citations?user=bM4pEGoAAAAJ,True,False,False,False,True,False,True,False,2,"...by Principal Scientist Dan Goldman Summer 2014, Summer 2015 Undergraduate Researcher â University of California, Berkeley BiD Lab, Visual Comp... | ...ummer 2015 Amy Pavel 2 University of California, Berkeley, Undergraduate Researcher Berkeley, CA BiD Lab, Visual Computing Lab. Advised by Prof...",,
2,Princeton,Amir Ali Ahmadi,Princeton University,Robotics,http://aaa.princeton.edu,https://scholar.google.com/citations?user=CmoKVuUAAAAJ,False,False,False,False,True,True,False,False,3,,,
5,UCB,Alvin Cheung,Univ. of California - Berkeley,"AI, ML, NLP",https://people.eecs.berkeley.edu/~akcheung,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,True,False,False,True,True,True,False,4,"...tarting point is to browse my recent publications . Note to prospective students and postdocs Research Areas of Interest Formal Methods, D...",,
0,UCB,Anant Sahai,Univ. of California - Berkeley,ML,https://people.eecs.berkeley.edu/~sahai,https://scholar.google.com/citations?user=4gWt4fgAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
5,JHU,Anand Bhattad,Johns Hopkins University,"ML, Vision",https://anandbhattad.github.io,https://scholar.google.com/citations?user=XUsauXIAAAAJ,False,False,False,False,True,False,True,False,3,,,
15,Yale,Amin Karbasi,Yale University,"AI, ML",http://seas.yale.edu/faculty-research/faculty-directory/amin-karbasi,https://scholar.google.com/citations?user=VusVB38AAAAJ,True,False,False,False,True,True,False,False,9,...ale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua... | ...: 68% Yale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua...,,
0,CMU,Ameet Talwalkar,Carnegie Mellon University,"AI, ML, Vision",https://www.cs.cmu.edu/~atalwalk,https://scholar.google.com/citations?user=TW7U1W0AAAAJ,False,False,False,False,False,False,False,False,1,,,
5,Rutgers,Amélie Marian,Rutgers University,"AI, Web+IR",https://www.cs.rutgers.edu/~amelie,https://scholar.google.com/citations?user=hcqjUUQAAAAJ,False,True,False,False,True,True,True,False,3,...SAS Notices University Operating Status Privacy Quick Links We Are Hiring! Undergraduate Academic Advising Undergraduate Program Grad...,,
5,Yale,Andre Wibisono,Yale University,ML,http://www.cs.yale.edu/homes/wibisono,https://scholar.google.com/citations?user=Py_StfUAAAAJ,False,False,False,False,True,False,False,False,1,,,
2,Purdue,Ananth Grama,Purdue University,"AI, ML, Web+IR",https://www.cs.purdue.edu/homes/ayg,https://scholar.google.com/citations?user=bpsZlEQAAAAJ,False,False,False,False,True,True,True,False,3,,,
0,UT-Austin,Andrea Thomaz,University of Texas at Austin,"AI, ML, Robotics",https://sim.ece.utexas.edu/people.html,https://scholar.google.com/citations?user=jIs-Y2gAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,CMU,Andrej Risteski,Carnegie Mellon University,"ML, NLP",https://www.andrew.cmu.edu/user/aristesk,https://scholar.google.com/citations?user=NWPDSEsAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,HKUST,Andrew Horner,HKUST,ML,http://www.cse.ust.hk/faculty/horner,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,False,False,False,1,,,
5,UPenn,Andrew Head,University of Pennsylvania,"NLP, Vision",https://andrewhead.info,https://scholar.google.com/citations?user=lccNQ3AAAAAJ,False,False,False,False,True,False,False,False,1,,,
0,UW-Madison,AnHai Doan,University of Wisconsin - Madison,"AI, Web+IR",http://pages.cs.wisc.edu/~anhai,https://scholar.google.com/citations?user=Qa_TAw4AAAAJ,False,False,False,False,False,False,False,False,1,,,
0,NYU,Andranik Mirzaian,York University,Robotics,http://www.eecs.yorku.ca/~andy,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,False,False,False,1,,,
-3,Rice,Anastasios Kyrillidis,Rice University,"AI, ML, Robotics, Vision",http://akyrillidis.github.io,https://scholar.google.com/citations?user=TEGzkZMAAAAJ,False,False,False,False,False,True,False,False,4,,,
-3,MIT,Andrew Lo,Massachusetts Inst. of Technology,"ML, NLP",http://alo.mit.edu,https://scholar.google.com/citations?user=4M-iGXMAAAAJ,False,False,False,False,False,True,False,False,3,,,
0,UofT,Andreas G. Veneris,University of Toronto,AI,http://www.eecg.utoronto.ca/~veneris/AndreasVeneris.htm,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,False,False,False,3,,,
-3,UIUC,Andrew Miller,Univ. of Illinois at Urbana-Champaign,Web+IR,http://soc1024.ece.illinois.edu,https://scholar.google.com/citations?user=Nv2jil0AAAAJ,False,False,False,False,False,True,False,False,1,,,
5,NYU,Andrew Gordon Wilson,New York University,"ML, NLP",https://cims.nyu.edu/~andrewgw,https://scholar.google.com/citations?user=twWX2LIAAAAJ,False,True,False,False,True,True,True,False,5,"...Gordon Wilson CV Bio Papers Talks Group Join Teaching Code Joining our Group It is safe to assume I am taking PhD students and postdocs,...",,
15,OSU,Andrew Perrault,Ohio State University,"AI, ML, NLP",https://aperrault.github.io,https://scholar.google.com/citations?user=2eWscBQAAAAJ,True,False,False,False,True,False,False,False,3,"...ease Control -> MS, University of Michigan CSE) Chenwei Xu (undergrad research -> MS, Northwestern CS) Rachel Guo (senior thesis: On the E... | ...in Long-Run Fairness Simulation -> US Army) Alaisha Sharma (undergrad research -> Palantir) Anya Zhang (senior thesis: Learning Equilibriu...",,
2,USC,Andrew Nealen,University of Southern California,AI,https://www.nealen.net,https://scholar.google.com/citations?user=YjpanIYAAAAJ,False,False,False,False,True,True,True,False,3,,,
0,UMass,Andrew McCallum,Univ. of Massachusetts Amherst,"AI, ML, NLP, Vision, Web+IR",https://people.cs.umass.edu/~mccallum,https://scholar.google.com/citations?user=yILa1y0AAAAJ,False,False,False,False,False,False,False,False,1,,,
0,UMD,Andrew M. Childs,Univ. of Maryland - College Park,"AI, ML",https://www.cs.umd.edu/~amchilds,https://scholar.google.com/citations?user=7MOW-j4AAAAJ,False,True,False,False,False,True,False,False,2,...ecture notes on quantum algorithms Advising Information for prospective students and postdocs Current students Joseph Carolan Amin Shiraz G...,,
0,NTU,Anh Tuan Luu,Nanyang Technological University,"AI, ML, NLP, Vision, Web+IR",https://tuanluu.github.io,https://scholar.google.com/citations?user=d6ixOGYAAAAJ,False,False,False,False,False,False,False,False,2,,,
0,UMass,Andrew S. Lan,Univ. of Massachusetts Amherst,"AI, ML, NLP",https://people.umass.edu/~andrewlan,https://scholar.google.com/citations?user=ZYc-LuMAAAAJ,False,True,False,False,False,True,False,False,1,...e started planning 3+ years ago will finally begin! Postdoc position available in my group; contact me if interested! Nov. 2023: Excited t...,,
0,UCSD,Andrew B. Kahng,Univ. of California - San Diego,AI,http://vlsicad.ucsd.edu/~abk,https://scholar.google.com/citations?user=zCO_h3cAAAAJ,False,True,False,False,False,True,False,False,3,"...octoral scholar). Research assistantships and post-doctoral positions are available. Available projects are in areas that include, but are not limited to:... | .../resources on ""research advice"" Teaching Information for Prospective Students Information for Prospective CSE 197 Students Links UCSD CS...",,
5,UMich,Ang Chen,University of Michigan,"ML, NLP",https://web.eecs.umich.edu/~chenang,https://scholar.google.com/citations?user=8Y4dDxkAAAAJ,False,False,False,False,True,False,False,False,2,,,
0,UMass,Andrew McGregor,Univ. of Massachusetts Amherst,ML,http://people.cs.umass.edu/~mcgregor,https://scholar.google.com/citations?user=IpBjTKQAAAAJ,False,False,False,False,False,False,False,False,1,,,
5,UMD,Ang Li,Univ. of Maryland - College Park,"ML, Vision",https://www.cs.umd.edu/people/angliece,https://scholar.google.com/citations?user=JVKSaWIAAAAJ,False,True,False,False,True,True,False,False,9,...ests Log In Explore Education Education Undergraduate About Prospective Students Immersive Media Design Combined BS/MS Program Recruiters F... | ...nts Honors Program Research Opportunities Graduate Info for Prospective Students Ph.D. In Computer Science M.S. in Computer Science About T...,,
15,UMich,Anhong Guo,University of Michigan,Vision,https://guoanhong.com,https://scholar.google.com/citations?user=xSZXqZQAAAAJ,True,False,False,False,True,False,True,False,2,...nia 2022 – Andi Xu (University of Michigan) CRA Outstanding Undergrad Researcher Award Runner Up First Position: Master’s student at Stanf...,,
0,NUS,Angela Yao,National University of Singapore,"AI, ML, Vision, Web+IR",https://www.comp.nus.edu.sg/~ayao,https://scholar.google.com/citations?user=-LJCZMMAAAAJ,False,True,False,False,False,True,False,False,1,...comp.nus.edu.sg [ CV ] [ Publications ] [ Group Website ] [ Prospective Students ] I am on sabbatical for 2025 and working at Meta Reality...,,
-3,Purdue,Aniket Kate,Purdue University,Web+IR,https://www.cs.purdue.edu/homes/akate,https://scholar.google.com/citations?user=dmhWxJgAAAAJ,False,False,False,False,False,True,False,False,1,,,
-3,Purdue,Aniket Bera,Purdue University,"AI, Robotics, Vision",https://www.cs.purdue.edu/~ab,https://scholar.google.com/citations?user=q3UdHk4AAAAJ,False,False,False,False,False,True,False,False,1,,,
2,GaTech,Animesh Garg,Georgia Institute of Technology,"AI, ML, Robotics, Vision",http://animesh.garg.tech,https://scholar.google.com/citations?user=zp8V7ZMAAAAJ,False,False,False,False,True,True,True,False,2,,,
-3,Cornell,Anil Damle,Cornell University,ML,https://www.cs.cornell.edu/~damle,https://scholar.google.com/citations?user=VqOc5C8AAAAJ,False,False,False,False,False,True,False,False,3,,,
0,JHU,Anjalie Field,Johns Hopkins University,"NLP, Web+IR",https://anjalief.github.io,https://scholar.google.com/citations?user=WQO8DHQAAAAJ,False,False,False,False,False,False,False,False,2,,,
2,CMU,Aniket Kittur,Carnegie Mellon University,"AI, ML",https://www.hcii.cmu.edu/people/aniket-kittur,https://scholar.google.com/citations?user=2vZ5zRQAAAAJ,False,False,False,False,True,True,False,False,9,,,
10,UofT,Anna Goldenberg,University of Toronto,"ML, Vision",http://goldenberglab.ca,https://scholar.google.com/citations?user=cEepZOEAAAAJ,True,False,False,False,False,True,False,False,2,...uI9I9qYAAAAJ Website: https://adk0101.github.io Aditya Khan Undergraduate Researcher About Haochen X Haochen Haochen is a 4th-year undergraduate... | ...://www.linkedin.com/in/haochen-ding-17039a295/ Haochen Ding Undergraduate Researcher About Kai X Kai Kai is a 4th year undergraduate student stu...,,
15,UMD,Ankur Srivastava,Univ. of Maryland - College Park,Robotics,https://ece.umd.edu/clark/faculty/484/Ankur-Srivastava,https://scholar.google.com/citations?user=rx92O6IAAAAJ,True,False,False,False,True,True,False,False,9,...structural divisions 9 Distinguished University Professors Undergraduate Ranking: Computer Engineering ranked #11 and Electrical Engine... | ...f Machine Learning Minor in Quantum Science and Engineering Prospective Students First Year Applicants Transfer Applicants ASE- CpE Transfe...,,
-3,UPenn,Anindya De,University of Pennsylvania,ML,https://www.seas.upenn.edu/directory/profile.php?ID=273,https://scholar.google.com/citations?user=lPM8k54AAAAJ,False,False,False,False,False,True,False,False,1,,,
5,UW,Anind K. Dey,University of Washington,"AI, ML, Robotics",https://ischool.uw.edu/people/faculty/profile/anind,https://scholar.google.com/citations?user=ydA8Q5AAAAAJ,False,True,False,False,True,True,False,False,9,...Check-In form to join the queue when you're ready to chat. Prospective students can schedule an advising appointment here . Online and in-... | ...seology graduate advisor Contact: uwmuse@uw.edu Current and prospective students can schedule an advising appointment. Advising appointment...,,
5,NUS,Anji Liu,National University of Singapore,"AI, ML, NLP, Vision",https://www.comp.nus.edu.sg/cs/people/liuaj,https://scholar.google.com/citations?user=k_4zYecAAAAJ,False,True,False,False,True,True,False,False,9,"...rious backgrounds in Singapore’s multicultural society. Who we are looking for We are looking for candidates in any area of computer scien... | ...n Singapore’s multicultural society. Who we are looking for We are looking for candidates in any area of computer science, for all levels...",,
15,UCB,Angjoo Kanazawa,Univ. of California - Berkeley,"ML, Robotics, Vision",http://people.eecs.berkeley.edu/~kanazawa,https://scholar.google.com/citations?user=Ci-_QYIAAAAJ,True,False,False,False,True,True,True,False,12,"...ssing pipeline to handle 27k+ motion sequences ◦Mentoring 2 undergraduate researchers ◦Presented research at BAIR seminars, international confer... | ...Click here for information. Thank you for your interest in joining my group! Sorry I can't respond to your email if you ask me about Ph...",,
15,JHU,Anqi Liu,Johns Hopkins University,"AI, ML, NLP",https://anqiliu-ai.github.io,https://scholar.google.com/citations?user=Q8yp6zQAAAAJ,True,False,False,False,True,False,False,False,3,"...with Eric Nalisnick ) For prospective students: I am always looking for motivated students (PhD, master, and undergraduate) to join my group. To start doing research, here are some g... | ...for motivated students (PhD, master, and undergraduate) to join my group. To start doing research, here are some great advice from m...",,
5,Duke,Anru Zhang,Duke University,ML,https://anruzhang.github.io,https://scholar.google.com/citations?user=H-PvgRsAAAAJ,False,False,False,False,True,False,False,False,2,,,
2,GaTech,Anqi Wu,Georgia Institute of Technology,"AI, ML, Robotics",https://sites.google.com/site/anqiwuresearch,https://scholar.google.com/citations?user=ptGYJiEAAAAJ,False,False,False,False,True,True,False,False,3,,,
0,Rice,Anshumali Shrivastava,Rice University,"AI, ML, Robotics, Web+IR",https://www.cs.rice.edu/~as143,https://scholar.google.com/citations?user=SGT23RAAAAAJ,False,False,False,False,False,False,False,False,1,,,
5,Princeton,Anirudha Majumdar,Princeton University,"ML, Robotics",https://irom-lab.princeton.edu/majumdar,https://scholar.google.com/citations?user=ibu3FwsAAAAJ,False,True,False,False,True,True,False,False,9,...s for testing our algorithms on robot hardware platforms.  Joining the lab We are looking for exceptional PhD and postoc candidates wh... | ...r algorithms on robot hardware platforms.  Joining the lab We are looking for exceptional PhD and postoc candidates who are excited about...,,
2,UW,Anna R. Karlin,University of Washington,"AI, Web+IR",http://www.cs.washington.edu/people/faculty/karlin,https://scholar.google.com/citations?user=9ZGqm5QAAAAJ,False,False,False,False,True,True,False,False,9,,,
5,UofT,Anthony J. Bonner,University of Toronto,"AI, ML",http://www.cs.toronto.edu/~bonner,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,True,False,False,False,1,,,
0,HKU,Antoni B. Chan,City University of Hong Kong,"AI, ML, Vision",https://www.cs.cityu.edu.hk/~abchan,https://scholar.google.com/citations?user=j4vFSn8AAAAJ,False,True,False,False,False,True,False,False,1,"...students and research assistants! If you are interested in joining the lab, please check this information . Outstanding non-HK student... | ...edu dot hk News Research Assistant and Technical Assistant positions are available for a project on using ChatGPT in teaching. Details here ....",,
0,UW-Madison,Anthony Gitter,University of Wisconsin - Madison,NLP,https://www.biostat.wisc.edu/~gitter,https://scholar.google.com/citations?user=j0_fn9oAAAAJ,False,False,False,False,False,False,False,False,1,,,
2,MIT,Ankur Moitra,Massachusetts Inst. of Technology,ML,http://people.csail.mit.edu/moitra,https://scholar.google.com/citations?user=umFQktIAAAAJ,False,False,False,False,True,True,True,False,8,,,
0,VT,Anuj Karpatne,Virginia Tech,"AI, ML, Vision",https://people.cs.vt.edu/karpatne,https://scholar.google.com/citations?user=aJdbHAoAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,MIT,Antonio Torralba,Massachusetts Inst. of Technology,"ML, NLP, Robotics, Vision, Web+IR",http://web.mit.edu/torralba/www,https://scholar.google.com/citations?user=8cxDHS4AAAAJ,False,False,False,False,False,False,False,False,0,,,主页无内容
0,NTU,Anupam Chattopadhyay,Nanyang Technological University,NLP,https://dr.ntu.edu.sg/cris/rp/rp01076,https://scholar.google.com/citations?user=TIt4ggwAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
0,NYU,Anupam Gupta,New York University,"ML, Web+IR",http://www.cs.cmu.edu/~anupamg,https://scholar.google.com/citations?user=QuwaU-8AAAAJ,False,False,False,False,False,False,False,False,1,,,
0,NUS,Anthony K. H. Tung,National University of Singapore,"AI, ML, NLP",http://www.comp.nus.edu.sg/~atung,https://scholar.google.com/citations?user=HPYVJacAAAAJ,False,False,False,False,False,False,False,False,2,,,
10,GaTech,Annie I. Antón,Georgia Institute of Technology,Robotics,http://www.cc.gatech.edu/people/annie-anton,https://scholar.google.com/citations?user=IQosWycAAAAJ,True,False,False,False,False,True,False,False,9,...utes Research Areas Research Centers About Research Centers Undergrad Research Industry Corporate Affiliates Program Corporate Recruiting... | ...utes Research Areas Research Centers About Research Centers Undergrad Research Industry Corporate Affiliates Program Corporate Recruiting...,,
5,Purdue,Anuran Makur,Purdue University,ML,https://www.cs.purdue.edu/homes/amakur,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,True,False,False,False,1,,,
3,StonyBrook,Anshul Gandhi,Stony Brook University,Web+IR,http://www3.cs.stonybrook.edu/~anshul,https://scholar.google.com/citations?user=XNSodwIAAAAJ,False,True,False,False,False,False,False,False,3,...want to learn more about my research and are interested in joining my group. [Brief (third-person) bio] Anshul Gandhi is an Associate P... | ...want to learn more about my research and are interested in joining my group. [Brief (third-person) bio] Anshul Gandhi is an Associate P...,,
-3,NTU,Anwitaman Datta,Nanyang Technological University,"AI, Web+IR",https://www3.ntu.edu.sg/home/anwitaman,https://scholar.google.com/citations?user=VWi3_OIAAAAJ,False,False,False,False,False,True,False,False,1,,,
-3,StonyBrook,Arie E. Kaufman,Stony Brook University,"ML, Vision",http://www3.cs.stonybrook.edu/~ari,https://scholar.google.com/citations?user=fDdcWBEAAAAJ,False,False,False,False,False,True,False,False,1,,,
3,UCI,Aparna Chandramowlishwaran,Univ. of California - Irvine,ML,https://hpcforge.eng.uci.edu,https://scholar.google.com/citations?user=7ASJ6JoAAAAJ,False,True,False,False,False,False,True,False,3,"...s looking for interested and motivated students/postdocs to join our team. If you are interested in joining our research lab, please... | ...s looking for interested and motivated students/postdocs to join our team. If you are interested in joining our research lab, please...",,
-3,CMU,Anupam Datta,Carnegie Mellon University,"AI, ML, NLP",http://www.andrew.cmu.edu/user/danupam,https://scholar.google.com/citations?user=oK3QM1wAAAAJ,False,False,False,False,False,True,False,False,2,,,
5,Northwestern,Aravindan Vijayaraghavan,Northwestern University,ML,http://www.eecs.northwestern.edu/~aravindv,https://scholar.google.com/citations?user=tokXOxkAAAAJ,False,True,False,False,True,True,False,False,1,"...nces), Eric Evert (first job: University of Florida, Math). Prospective Students: See here for details. Professional Activities and Theory...",,
3,UIUC,Arindam Banerjee,Univ. of Illinois at Urbana-Champaign,"AI, ML, Vision, Web+IR",https://arindam.cs.illinois.edu,https://scholar.google.com/citations?user=RY7cuPAAAAAJ,False,True,False,False,False,False,False,False,2,"...Here is a list of our Publications . Prospective Students: We are looking for strong MS and PhD students, both in core Machine Learning (... | ...Finance, among others. Here is a list of our Publications . Prospective Students: We are looking for strong MS and PhD students, both in co...",,
15,UMD,Aravind Srinivasan,Univ. of Maryland - College Park,"AI, ML, Web+IR",https://www.cs.umd.edu/~srin,https://scholar.google.com/citations?user=sPzla6IAAAAJ,True,False,False,False,True,True,True,False,3,"...t- ing Research Association (CRA)’s prestigious Outstanding Undergraduate Researcher Award (URA), 2023-2024. (Please see the section “Recognitio... | ...puting Research Association (CRA)’s prestigious Outstanding Undergraduate Researcher Award (URA) for 2023-2024. • Undergraduate student George L...",,
-3,UCB,Anthony D. Joseph,Univ. of California - Berkeley,ML,https://www.eecs.berkeley.edu/Faculty/Homepages/joseph.html,https://scholar.google.com/citations?user=xdGKgtcAAAAJ,False,False,False,False,False,True,False,False,1,,,
15,Stanford,Anshul Kundaje,Stanford University,ML,https://med.stanford.edu/profiles/anshul-kundaje,https://scholar.google.com/citations?user=T2vp1pgAAAAJ,True,False,False,False,True,True,False,False,9,...r Society (ACS) are partnering to provide a cancer research internship program open to undergraduates affiliated with 2-4 year institutions in the Bay Area wit...,,
0,Rice,Arlei Silva,Rice University,"AI, ML, Web+IR",https://profiles.rice.edu/faculty/arlei-silva,https://scholar.google.com/citations?user=atGtis4AAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
15,Yale,Arman Cohan,Yale University,"AI, ML, NLP, Vision, Web+IR",https://seas.yale.edu/faculty-research/faculty-directory/arman-cohan,https://scholar.google.com/citations?user=baI7IY0AAAAJ,True,False,False,False,True,True,False,False,9,...ale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua... | ...: 68% Yale Engineering Undergraduate Alumni who Completed a Summer Internship: 70% Yale Engineering Undergraduate Alumni who Studied Abroad: 11% Yale Engineering Undergradua...,,
0,NUS,Arnab Bhattacharyya,National University of Singapore,"AI, ML",https://www.comp.nus.edu.sg/~arnab,https://scholar.google.com/citations?user=eECXWqUAAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
5,MIT,Armando Solar-Lezama,Massachusetts Inst. of Technology,"AI, ML, NLP, Robotics, Vision",https://people.csail.mit.edu/asolar,https://scholar.google.com/citations?user=8BX3BokAAAAJ,False,True,False,False,True,True,True,False,3,"...MIT Summer Research Program (MSRP) . Students interested in joining the group as PhD students should apply to the EECS PhD program a... | ...In your application, you can express your interest in joining my group. Please be aware that I am usually unable to respond to...",,
5,OSU,Arnab Nandi,Ohio State University,"AI, ML",http://arnab.org,https://scholar.google.com/citations?user=OhiNDfkAAAAJ,False,False,False,False,True,False,False,False,1,,,
0,Cornell,Arpita Ghosh,Cornell University,"AI, Web+IR",http://www.arpitaghosh.com,https://scholar.google.com/citations?user=_cMw1IUAAAAJ,False,False,False,False,False,False,False,False,1,,,
2,StonyBrook,Aruna Balasubramanian,Stony Brook University,"NLP, Web+IR",https://www.cs.stonybrook.edu/people/faculty/ArunaBalasubramanian,https://scholar.google.com/citations?user=qtfHsnoAAAAJ,False,False,False,False,True,True,False,False,9,,,
5,Rutgers,Arpita Biswas,Rutgers University,"AI, ML, Web+IR",https://sites.google.com/view/arpitabiswas,https://scholar.google.com/citations?user=l_TT8-0AAAAJ,False,False,False,False,True,False,False,False,3,,,
-3,NTU,Arvind Easwaran,Nanyang Technological University,"AI, ML",https://www3.ntu.edu.sg/home/arvinde,https://scholar.google.com/citations?user=B_ouhTgAAAAJ,False,False,False,False,False,True,False,False,1,,,
-3,UCB,Armando Fox,Univ. of California - Berkeley,"ML, Robotics",https://www.eecs.berkeley.edu/Faculty/Homepages/fox.html,https://scholar.google.com/citations?user=NOSCHOLARPAGE,False,False,False,False,False,True,False,False,2,,,
2,UCSD,Arya Mazumdar,Univ. of California - San Diego,"AI, ML",http://mazumdar.ucsd.edu,https://scholar.google.com/citations?user=9tjQU1EAAAAJ,False,False,False,False,True,True,False,False,1,,,
0,UofT,Arvind Gupta,University of Toronto,AI,https://www.cs.ubc.ca/people/arvind-gupta,https://scholar.google.com/citations?user=6GGJg24AAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
5,Harvard,Ariel D. Procaccia,Harvard University,"AI, ML, Web+IR",http://procaccia.info,https://scholar.google.com/citations?user=8ZpV-lkAAAAJ,False,False,False,False,True,False,False,False,9,,,
-3,Princeton,Arvind Narayanan,Princeton University,"ML, Vision, Web+IR",http://randomwalker.info,https://scholar.google.com/citations?user=0Bi5CMgAAAAJ,False,False,False,False,False,True,False,False,1,,,
-3,GaTech,Arkadi Nemirovski,Georgia Institute of Technology,ML,https://www.isye.gatech.edu/users/arkadi-nemirovski,https://scholar.google.com/citations?user=3QxoymwAAAAJ,False,False,False,False,False,True,True,False,10,,,
0,Columbia,Asaf Cidon,Columbia University,ML,https://www.asafcidon.com,https://scholar.google.com/citations?user=yKzSdygAAAAJ,False,False,False,False,False,False,False,False,1,,,
5,UMN,Aryan Deshwal,University of Minnesota,"AI, ML, NLP",https://aryandeshwal.github.io,https://scholar.google.com/citations?user=wNEYBrAAAAAJ,False,False,False,False,True,False,True,False,3,,,
2,Stanford,Ashish Goel,Stanford University,"AI, ML, Web+IR",https://web.stanford.edu/~ashishg/ashishg.html,https://scholar.google.com/citations?user=B_rKfusAAAAJ,False,False,False,False,True,True,False,False,3,,,
0,Rice,Ashok Veeraraghavan,Rice University,"ML, Robotics, Vision",https://www.ece.rice.edu/~av21,https://scholar.google.com/citations?user=tI-oUmsAAAAJ,False,False,False,False,False,False,False,False,1,,,
0,UCSB,Arpit Gupta,Univ. of California - Santa Barbara,"ML, NLP",https://sites.cs.ucsb.edu/~arpitgupta,https://scholar.google.com/citations?user=lc3R9-wAAAAJ,False,False,False,False,False,False,False,False,2,,,
15,Rice,Ashutosh Sabharwal,Rice University,Vision,https://ashu.rice.edu,https://scholar.google.com/citations?user=MiqMO-kAAAAJ,True,False,False,False,True,True,False,False,2,"...plication fee, and GRE is optional. Undergraduate Students: Undergraduate researchers are welcome in our labs. You can either for VIP credit in... | ...for next-generation wireless. Several new graduate student positions are available for Fall 2025. My current research focus are as follows. Jo...",,
5,UofT,Ashton Anderson,University of Toronto,"ML, NLP, Web+IR",http://www.cs.toronto.edu/~ashton,https://scholar.google.com/citations?user=FMSltawAAAAJ,False,False,False,False,True,False,False,False,1,,,
8,GaTech,Ashwin Pananjady,Georgia Institute of Technology,ML,https://sites.gatech.edu/ashwin-pananjady,https://scholar.google.com/citations?user=kAOvHSoAAAAJ,False,True,False,False,True,False,False,False,3,"...ing Wang (Masters, now PhD student at Georgia Tech) Note to prospective students: Due to the large volume of email that I receive, I genera...",,
0,GaTech,Ashutosh Dhekne,Georgia Institute of Technology,"Robotics, Web+IR",https://www.cc.gatech.edu/~dhekne,https://scholar.google.com/citations?user=gGB3lA4AAAAJ,False,False,False,False,False,False,False,False,1,,,
0,NTU,Atsushi Nitanda,Nanyang Technological University,ML,https://dr.ntu.edu.sg/entities/person/Atsushi-Nitanda,https://scholar.google.com/citations?user=LyVvaf8AAAAJ,False,False,False,False,False,False,False,False,0,,,主页获取失败
